Region,Dosis,Fecha,Cantidad
Total,Primera,2021-01-04,9055
Total,Segunda,2021-01-04,0
Arica y Parinacota,Primera,2021-01-04,0
Arica y Parinacota,Segunda,2021-01-04,0
Tarapacá,Primera,2021-01-04,0
Tarapacá,Segunda,2021-01-04,0
Antofagasta,Primera,2021-01-04,0
Antofagasta,Segunda,2021-01-04,0
Atacama,Primera,2021-01-04,0
Atacama,Segunda,2021-01-04,0
Coquimbo,Primera,2021-01-04,0
Coquimbo,Segunda,2021-01-04,0
Valparaíso,Primera,2021-01-04,0
Valparaíso,Segunda,2021-01-04,0
Metropolitana,Primera,2021-01-04,5820
Metropolitana,Segunda,2021-01-04,0
O’Higgins,Primera,2021-01-04,0
O’Higgins,Segunda,2021-01-04,0
Maule,Primera,2021-01-04,230
Maule,Segunda,2021-01-04,0
Ñuble,Primera,2021-01-04,0
Ñuble,Segunda,2021-01-04,0
Biobío,Primera,2021-01-04,2059
Biobío,Segunda,2021-01-04,0
Araucanía,Primera,2021-01-04,711
Araucanía,Segunda,2021-01-04,0
Los Ríos,Primera,2021-01-04,70
Los Ríos,Segunda,2021-01-04,0
Los Lagos,Primera,2021-01-04,0
Los Lagos,Segunda,2021-01-04,0
Aysén,Primera,2021-01-04,0
Aysén,Segunda,2021-01-04,0
Magallanes,Primera,2021-01-04,165
Magallanes,Segunda,2021-01-04,0
Total,Primera,2021-01-05,10498
Total,Segunda,2021-01-05,0
Arica y Parinacota,Primera,2021-01-05,0
Arica y Parinacota,Segunda,2021-01-05,0
Tarapacá,Primera,2021-01-05,120
Tarapacá,Segunda,2021-01-05,0
Antofagasta,Primera,2021-01-05,0
Antofagasta,Segunda,2021-01-05,0
Atacama,Primera,2021-01-05,0
Atacama,Segunda,2021-01-05,0
Coquimbo,Primera,2021-01-05,0
Coquimbo,Segunda,2021-01-05,0
Valparaíso,Primera,2021-01-05,600
Valparaíso,Segunda,2021-01-05,0
Metropolitana,Primera,2021-01-05,5820
Metropolitana,Segunda,2021-01-05,0
O’Higgins,Primera,2021-01-05,0
O’Higgins,Segunda,2021-01-05,0
Maule,Primera,2021-01-05,503
Maule,Segunda,2021-01-05,0
Ñuble,Primera,2021-01-05,0
Ñuble,Segunda,2021-01-05,0
Biobío,Primera,2021-01-05,2059
Biobío,Segunda,2021-01-05,0
Araucanía,Primera,2021-01-05,711
Araucanía,Segunda,2021-01-05,0
Los Ríos,Primera,2021-01-05,145
Los Ríos,Segunda,2021-01-05,0
Los Lagos,Primera,2021-01-05,375
Los Lagos,Segunda,2021-01-05,0
Aysén,Primera,2021-01-05,0
Aysén,Segunda,2021-01-05,0
Magallanes,Primera,2021-01-05,165
Magallanes,Segunda,2021-01-05,0
Total,Primera,2021-01-06,10703
Total,Segunda,2021-01-06,0
Arica y Parinacota,Primera,2021-01-06,0
Arica y Parinacota,Segunda,2021-01-06,0
Tarapacá,Primera,2021-01-06,160
Tarapacá,Segunda,2021-01-06,0
Antofagasta,Primera,2021-01-06,0
Antofagasta,Segunda,2021-01-06,0
Atacama,Primera,2021-01-06,0
Atacama,Segunda,2021-01-06,0
Coquimbo,Primera,2021-01-06,0
Coquimbo,Segunda,2021-01-06,0
Valparaíso,Primera,2021-01-06,600
Valparaíso,Segunda,2021-01-06,0
Metropolitana,Primera,2021-01-06,5820
Metropolitana,Segunda,2021-01-06,0
O’Higgins,Primera,2021-01-06,0
O’Higgins,Segunda,2021-01-06,0
Maule,Primera,2021-01-06,503
Maule,Segunda,2021-01-06,0
Ñuble,Primera,2021-01-06,0
Ñuble,Segunda,2021-01-06,0
Biobío,Primera,2021-01-06,2059
Biobío,Segunda,2021-01-06,0
Araucanía,Primera,2021-01-06,711
Araucanía,Segunda,2021-01-06,0
Los Ríos,Primera,2021-01-06,145
Los Ríos,Segunda,2021-01-06,0
Los Lagos,Primera,2021-01-06,540
Los Lagos,Segunda,2021-01-06,0
Aysén,Primera,2021-01-06,0
Aysén,Segunda,2021-01-06,0
Magallanes,Primera,2021-01-06,165
Magallanes,Segunda,2021-01-06,0
Total,Primera,2021-01-07,10703
Total,Segunda,2021-01-07,0
Arica y Parinacota,Primera,2021-01-07,0
Arica y Parinacota,Segunda,2021-01-07,0
Tarapacá,Primera,2021-01-07,160
Tarapacá,Segunda,2021-01-07,0
Antofagasta,Primera,2021-01-07,0
Antofagasta,Segunda,2021-01-07,0
Atacama,Primera,2021-01-07,0
Atacama,Segunda,2021-01-07,0
Coquimbo,Primera,2021-01-07,0
Coquimbo,Segunda,2021-01-07,0
Valparaíso,Primera,2021-01-07,600
Valparaíso,Segunda,2021-01-07,0
Metropolitana,Primera,2021-01-07,5820
Metropolitana,Segunda,2021-01-07,0
O’Higgins,Primera,2021-01-07,0
O’Higgins,Segunda,2021-01-07,0
Maule,Primera,2021-01-07,503
Maule,Segunda,2021-01-07,0
Ñuble,Primera,2021-01-07,0
Ñuble,Segunda,2021-01-07,0
Biobío,Primera,2021-01-07,2059
Biobío,Segunda,2021-01-07,0
Araucanía,Primera,2021-01-07,711
Araucanía,Segunda,2021-01-07,0
Los Ríos,Primera,2021-01-07,145
Los Ríos,Segunda,2021-01-07,0
Los Lagos,Primera,2021-01-07,540
Los Lagos,Segunda,2021-01-07,0
Aysén,Primera,2021-01-07,0
Aysén,Segunda,2021-01-07,0
Magallanes,Primera,2021-01-07,165
Magallanes,Segunda,2021-01-07,0
Total,Primera,2021-01-08,10703
Total,Segunda,2021-01-08,0
Arica y Parinacota,Primera,2021-01-08,0
Arica y Parinacota,Segunda,2021-01-08,0
Tarapacá,Primera,2021-01-08,160
Tarapacá,Segunda,2021-01-08,0
Antofagasta,Primera,2021-01-08,0
Antofagasta,Segunda,2021-01-08,0
Atacama,Primera,2021-01-08,0
Atacama,Segunda,2021-01-08,0
Coquimbo,Primera,2021-01-08,0
Coquimbo,Segunda,2021-01-08,0
Valparaíso,Primera,2021-01-08,600
Valparaíso,Segunda,2021-01-08,0
Metropolitana,Primera,2021-01-08,5820
Metropolitana,Segunda,2021-01-08,0
O’Higgins,Primera,2021-01-08,0
O’Higgins,Segunda,2021-01-08,0
Maule,Primera,2021-01-08,503
Maule,Segunda,2021-01-08,0
Ñuble,Primera,2021-01-08,0
Ñuble,Segunda,2021-01-08,0
Biobío,Primera,2021-01-08,2059
Biobío,Segunda,2021-01-08,0
